a,origin,destination,requirement_status,requirement
618,Andorra,Bosnia and Herzegovina,2,visa_free
619,Andorra,Botswana,0,visa_required
620,Andorra,Brazil,2,visa_free
621,Andorra,Brunei,0,visa_required
622,Andorra,Bulgaria,2,visa_free
623,Andorra,Burkina Faso,0,visa_required
624,Andorra,Burundi,1,visa_on_arrival
625,Andorra,Cambodia,1,visa_on_arrival
626,Andorra,Cameroon,0,visa_required
627,Andorra,Canada,3,eta
628,Andorra,Cape Verde,2,visa_free
629,Andorra,Central African Republic,0,visa_required
630,Andorra,Chad,0,visa_required
631,Andorra,Chile,2,visa_free
632,Andorra,China,0,visa_required
633,Andorra,Colombia,2,visa_free
634,Andorra,Comoros,1,visa_on_arrival
635,Andorra,Congo [Republic],0,visa_required
636,Andorra,Congo [DRC],1,visa_on_arrival
637,Andorra,Costa Rica,2,visa_free
638,Andorra,Côte d'Ivoire,3,eta
639,Andorra,Croatia,2,visa_free
640,Andorra,Cuba,1,visa_on_arrival
641,Andorra,Cyprus,2,visa_free
642,Andorra,Czech Republic,2,visa_free
643,Andorra,Denmark,2,visa_free
644,Andorra,Djibouti,1,visa_on_arrival
645,Andorra,Dominica,2,visa_free
646,Andorra,Dominican Republic,2,visa_free
647,Andorra,Ecuador,2,visa_free
648,Andorra,Egypt,1,visa_on_arrival
649,Andorra,El Salvador,2,visa_free
650,Andorra,Equatorial Guinea,0,visa_required
651,Andorra,Eritrea,0,visa_required
652,Andorra,Estonia,2,visa_free
653,Andorra,Eswatini,2,visa_free
654,Andorra,Ethiopia,1,visa_on_arrival
655,Andorra,Fiji,0,visa_required
656,Andorra,Finland,2,visa_free
657,Andorra,France,2,visa_free
658,Andorra,Gabon,1,visa_on_arrival
659,Andorra,Gambia,2,visa_free
660,Andorra,Georgia,2,visa_free
661,Andorra,Germany,2,visa_free
662,Andorra,Ghana,0,visa_required
663,Andorra,Greece,2,visa_free
664,Andorra,Grenada,0,visa_required
